2019-10-27 12:52:10,281 , client, on_bot_msg, INFO, 20, Bot: You are Connected, client.py, MainProcess, 29548 
2019-10-27 12:52:10,282 , client, connect, DEBUG, 10, I'm connected!, client.py, MainProcess, 29548 
2019-10-27 12:52:10,288 , server, on_join, INFO, 20, User joined: a1a1d3a5847140b28fee2ffad2350e12, server.py, MainProcess, 889 
2019-10-27 12:52:10,290 , client, on_join, INFO, 20, a1a1d3a5847140b28fee2ffad2350e12 has joined, client.py, MainProcess, 29557 
2019-10-27 12:52:10,681 , client, disconnect, DEBUG, 10, I'm disconnected!, client.py, MainProcess, 29947 
2019-10-27 12:52:13,300 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 831 
2019-10-27 12:52:13,300 , client, connect, DEBUG, 10, Connecting..., client.py, MainProcess, 831 
2019-10-27 12:52:13,305 , server, connect, INFO, 20, User Connected: aa9f1c8a612241fb8b3052a5de21367f, server.py, MainProcess, 3906 
2019-10-27 12:52:13,305 , server, send_msg, INFO, 20, Bot : You are Connected, server.py, MainProcess, 3906 
2019-10-27 12:52:13,307 , client, on_bot_msg, INFO, 20, Bot: You are Connected, client.py, MainProcess, 838 
2019-10-27 12:52:13,308 , client, connect, DEBUG, 10, I'm connected!, client.py, MainProcess, 839 
2019-10-27 12:52:13,319 , server, on_join, INFO, 20, User joined: aa9f1c8a612241fb8b3052a5de21367f, server.py, MainProcess, 3920 
2019-10-27 12:52:13,320 , server, user_uttered, DEBUG, 10, User : {'sender_id': 'shivam', 'message': 'bye', 'session_id': 'aa9f1c8a612241fb8b3052a5de21367f'}, server.py, MainProcess, 3921 
2019-10-27 12:52:13,321 , server, send_msg, INFO, 20, Bot : {'sender_id': 'shivam', 'message': 'bye', 'session_id': 'aa9f1c8a612241fb8b3052a5de21367f'}, server.py, MainProcess, 3922 
2019-10-27 12:52:13,321 , client, on_join, INFO, 20, aa9f1c8a612241fb8b3052a5de21367f has joined, client.py, MainProcess, 852 
2019-10-27 12:52:13,363 , client, on_bot_msg, INFO, 20, Bot: {'sender_id': 'shivam', 'message': 'bye', 'session_id': 'aa9f1c8a612241fb8b3052a5de21367f'}, client.py, MainProcess, 894 
2019-10-27 12:52:40,076 , client, disconnect, DEBUG, 10, I'm disconnected!, client.py, MainProcess, 27607 
2019-10-27 12:52:42,853 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 789 
2019-10-27 12:52:42,984 , server, connect, INFO, 20, User Connected: fdb3fc995dae4ee386fe2da85513d724, server.py, MainProcess, 920 
2019-10-27 12:52:42,984 , server, send_msg, INFO, 20, Bot : You are Connected, server.py, MainProcess, 920 
2019-10-27 12:52:42,987 , client, on_bot_msg, INFO, 20, Bot: You are Connected, client.py, MainProcess, 30517 
2019-10-27 12:52:42,987 , client, connect, DEBUG, 10, I'm connected!, client.py, MainProcess, 30518 
2019-10-27 12:52:42,993 , server, on_join, INFO, 20, User joined: fdb3fc995dae4ee386fe2da85513d724, server.py, MainProcess, 928 
2019-10-27 12:52:42,994 , client, on_join, INFO, 20, fdb3fc995dae4ee386fe2da85513d724 has joined, client.py, MainProcess, 30525 
2019-10-27 12:52:43,633 , client, disconnect, DEBUG, 10, I'm disconnected!, client.py, MainProcess, 31163 
2019-10-27 12:52:43,634 , server, disconnect, INFO, 20, User Disconnected: fdb3fc995dae4ee386fe2da85513d724, server.py, MainProcess, 1569 
2019-10-27 12:52:49,033 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 819 
2019-10-27 12:52:49,034 , client, connect, DEBUG, 10, Connecting..., client.py, MainProcess, 819 
2019-10-27 12:52:49,038 , server, connect, INFO, 20, User Connected: 824c7c357c514e15b0f02754b5f890ff, server.py, MainProcess, 6974 
2019-10-27 12:52:49,039 , server, send_msg, INFO, 20, Bot : You are Connected, server.py, MainProcess, 6974 
2019-10-27 12:52:49,040 , client, on_bot_msg, INFO, 20, Bot: You are Connected, client.py, MainProcess, 826 
2019-10-27 12:52:49,041 , client, connect, DEBUG, 10, I'm connected!, client.py, MainProcess, 827 
2019-10-27 12:52:49,049 , server, on_join, INFO, 20, User joined: 824c7c357c514e15b0f02754b5f890ff, server.py, MainProcess, 6984 
2019-10-27 12:52:49,050 , server, user_uttered, DEBUG, 10, User : {'sender_id': 'shivam', 'message': 'bye', 'session_id': '824c7c357c514e15b0f02754b5f890ff'}, server.py, MainProcess, 6986 
2019-10-27 12:52:49,050 , server, send_msg, INFO, 20, Bot : {'sender_id': 'shivam', 'message': 'bye', 'session_id': '824c7c357c514e15b0f02754b5f890ff'}, server.py, MainProcess, 6986 
2019-10-27 12:52:49,050 , client, on_join, INFO, 20, 824c7c357c514e15b0f02754b5f890ff has joined, client.py, MainProcess, 836 
2019-10-27 12:52:49,091 , client, on_bot_msg, INFO, 20, Bot: {'sender_id': 'shivam', 'message': 'bye', 'session_id': '824c7c357c514e15b0f02754b5f890ff'}, client.py, MainProcess, 877 
2019-10-27 12:53:07,613 , client, disconnect, DEBUG, 10, I'm disconnected!, client.py, MainProcess, 19398 
2019-10-27 12:53:07,614 , server, disconnect, INFO, 20, User Disconnected: 824c7c357c514e15b0f02754b5f890ff, server.py, MainProcess, 25549 
2019-10-27 12:53:50,333 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 711 
2019-10-27 12:53:58,573 , mylog, <module>, DEBUG, 10, Logging Started, /home/shiva/p/pro/SocketChat/mylog.py, MainProcess, 820 
2019-10-27 12:53:58,573 , client, connect, DEBUG, 10, Connecting..., client.py, MainProcess, 821 
